name,classification,profile_url,photo_url,mugshot_url,entry_in_ioc,born,games_participated,athlete_profile
Mr Luis MEJIA OVIEDO,member,https://www.olympics.com/ioc/mr-luis-mejia-oviedo,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699268820/primary/t4s3xkycdsan97g7edvz,2017,04-Sep-53,,
Mr Neven ILIC,member,https://www.olympics.com/ioc/mr-neven-ilic,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699268857/primary/wicwbqy7c6wuabsvez8t,2017,04-Apr-62,,
Mr Jean-Christophe ROLLAND,member,https://www.olympics.com/ioc/mr-jean-christophe-rolland,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699268924/primary/bch88xwnsxhlbgeqgvdt,2017,03-Jul-68,"1992, 1996, 2000",Jean Christophe ROLLAND
Mr Ingmar DE VOS,member,https://www.olympics.com/ioc/mr-ingmar-de-vos,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699268966/primary/zbnpmstmo9sslbspfngl,2017,05-Aug-63,,
Mr Jiri KEJVAL,member,https://www.olympics.com/ioc/mr-jiri-kejval,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269008/primary/zba5g0vxveqmsguwzeb5,2018,30-Nov-67,,
Mrs Emma TERHO *,member,https://www.olympics.com/ioc/mrs-emma-terho,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269501/primary/vsfhn4aqwxs0mbnmvgam,2018,17-Dec-81,"1998, 2002, 2006, 2010, 2014",Emma TERHO
Ms Hong ZHANG,member,https://www.olympics.com/ioc/ms-hong-zhang,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269527/primary/mbkzciqbwnhwyb4pjpsa,2018,12-Apr-88,"2014, 2018",Hong ZHANG
Ms Samira ASGHARI,member,https://www.olympics.com/ioc/ms-samira-asghari,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269560/primary/svzyemzypg6g7p1af3ub,2018,31-Mar-94,,
Mrs Daina GUDZINEVICIUTE,member,https://www.olympics.com/ioc/mrs-daina-gudzineviciute,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269599/primary/l8sn5uwkpfdtrrqwr082,2018,23-Dec-65,"1996, 2000, 2004, 2008, 2012",Daina GUDZINEVICIUTE
Mr Camilo PÉREZ LÓPEZ MOREIRA,member,https://www.olympics.com/ioc/mr-camilo-perez-lopez-moreira,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269627/primary/wnpib7k4x1rckfcacfmy,2018,31-Mar-69,,
Mrs Felicite RWEMARIKA,member,https://www.olympics.com/ioc/mrs-felicite-rwemarika,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699269650/primary/cs1wwqitpazlfvpedpsc,2018,09-Mar-58,,
